epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,200.037,0.66199,0.732,1,0.57623,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847
2,344.566,0.43277,0.91,1,0.31838,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794
3,453.83,0.24278,0.992,1,0.12099,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402
4,561.582,0.10766,0.996,1,0.04745,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,671.725,0.05202,1,1,0.0287,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,779.995,0.03724,1,1,0.01994,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,890.635,0.03288,1,1,0.01783,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,999.793,0.02228,1,1,0.0144,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,1112.02,0.0192,1,1,0.01049,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,1220.19,0.01793,1,1,0.01046,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,1332.59,0.01996,1,1,0.0079,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,1442.13,0.01103,1,1,0.0077,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,1554,0.01979,1,1,0.00798,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,1663.67,0.01669,1,1,0.00793,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,1774.24,0.01367,1,1,0.00986,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,1882.12,0.01126,1,1,0.00732,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,1992.33,0.0136,1,1,0.00606,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,2100.32,0.01324,1,1,0.00447,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,2213.75,0.01333,1,1,0.0047,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,2324.72,0.0121,1,1,0.00498,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
