epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2493,0.93273,1.96939,1.18118,0.92472,0.7251,0.89014,0.59538,1.12211,1.9375,1.41091,0.000545564,0.000545564,0.000545564
2,57.807,0.94268,1.33638,1.14561,0.76427,0.67956,0.75626,0.50193,1.12285,1.60095,1.45713,0.00109033,0.00109033,0.00109033
3,64.2936,0.96359,1.2166,1.1516,0.65853,0.72776,0.74378,0.37973,1.5124,2.21433,1.76449,0.00162409,0.00162409,0.00162409
4,70.7532,0.97672,1.11319,1.15949,0.59732,0.55209,0.48688,0.34073,1.08681,2.25891,1.41497,0.00161749,0.00161749,0.00161749
5,77.2122,0.9627,1.02865,1.16656,0.814,0.91818,0.92115,0.62536,1.0739,1.30052,1.352,0.00160099,0.00160099,0.00160099
6,83.7507,0.90307,0.88877,1.11949,0.89872,0.92017,0.95978,0.68771,1.02175,0.86696,1.31759,0.00158448,0.00158448,0.00158448
7,90.2923,0.89173,0.83085,1.1172,0.88422,0.78166,0.8985,0.59935,1.13172,1.00848,1.37806,0.00156798,0.00156798,0.00156798
8,96.7734,0.8552,0.78309,1.09729,0.72004,0.91112,0.9439,0.73444,0.79593,0.9716,1.11142,0.00155148,0.00155148,0.00155148
9,103.266,0.8804,0.7769,1.10879,0.89765,0.90119,0.91632,0.72483,0.77766,0.71208,1.11213,0.00153497,0.00153497,0.00153497
10,109.762,0.84803,0.7104,1.08791,0.92167,0.92203,0.97341,0.76508,0.84267,0.77008,1.19532,0.00151847,0.00151847,0.00151847
11,116.3,0.79821,0.67841,1.06545,0.72537,0.66606,0.72923,0.49572,1.10398,1.64488,1.30295,0.00150197,0.00150197,0.00150197
12,122.777,0.79862,0.66564,1.0666,0.82009,0.89764,0.95889,0.71548,0.98391,0.81763,1.30224,0.00148546,0.00148546,0.00148546
13,129.249,0.80319,0.65389,1.07151,0.938,0.97534,0.98763,0.6785,1.08973,0.61012,1.42294,0.00146896,0.00146896,0.00146896
14,135.712,0.79116,0.62663,1.05649,0.94047,0.97778,0.98624,0.77907,0.84333,0.52332,1.11125,0.00145246,0.00145246,0.00145246
15,142.235,0.79064,0.62632,1.06088,0.92314,0.97706,0.97852,0.7557,0.84878,0.58578,1.16752,0.00143595,0.00143595,0.00143595
16,148.755,0.75552,0.60245,1.04834,0.88519,0.96015,0.95405,0.75955,0.79023,0.56912,1.13188,0.00141945,0.00141945,0.00141945
17,155.202,0.77748,0.5882,1.05409,0.94849,0.96121,0.98139,0.7633,0.83719,0.51059,1.14217,0.00140295,0.00140295,0.00140295
18,161.719,0.74892,0.59044,1.0377,0.90845,0.87903,0.94706,0.73042,0.84981,0.5616,1.15453,0.00138644,0.00138644,0.00138644
19,168.209,0.74916,0.56085,1.04256,0.9464,0.93963,0.9775,0.79342,0.74815,0.6234,1.08771,0.00136994,0.00136994,0.00136994
20,174.802,0.73655,0.55628,1.03951,0.9663,0.98096,0.9857,0.77405,0.79117,0.45464,1.10278,0.00135344,0.00135344,0.00135344
21,181.338,0.72762,0.55654,1.02733,0.94102,0.9216,0.98141,0.76279,0.79895,0.55273,1.12306,0.00133693,0.00133693,0.00133693
22,187.827,0.75086,0.56239,1.04428,0.96046,0.98238,0.97993,0.77809,0.79482,0.48714,1.10482,0.00132043,0.00132043,0.00132043
23,194.293,0.73037,0.55266,1.04151,0.97677,0.98696,0.99098,0.80955,0.71468,0.44093,1.10123,0.00130393,0.00130393,0.00130393
24,200.928,0.71927,0.53338,1.03318,0.90188,0.89469,0.94195,0.75875,0.72853,0.64261,1.06874,0.00128742,0.00128742,0.00128742
25,207.463,0.70961,0.51804,1.02614,0.95847,0.98696,0.98821,0.79495,0.7606,0.41138,1.10886,0.00127092,0.00127092,0.00127092
26,214.153,0.70259,0.52781,1.02274,0.98673,0.99876,0.98904,0.82137,0.68338,0.3789,1.07426,0.00125442,0.00125442,0.00125442
27,220.809,0.72425,0.53321,1.03324,0.95889,0.99541,0.99145,0.77417,0.84628,0.49948,1.17788,0.00123791,0.00123791,0.00123791
28,227.365,0.73002,0.53057,1.02509,0.96187,0.99107,0.98829,0.81619,0.6772,0.39805,1.07149,0.00122141,0.00122141,0.00122141
29,233.879,0.68201,0.50914,1.01681,0.8274,0.89249,0.96442,0.77796,0.72022,0.6372,1.09421,0.00120491,0.00120491,0.00120491
30,240.415,0.68406,0.47976,1.00742,0.90406,0.96545,0.9832,0.78508,0.74742,0.49273,1.09195,0.0011884,0.0011884,0.0011884
31,246.869,0.67164,0.49509,1.02665,0.97887,0.98687,0.98834,0.80164,0.72392,0.43875,1.09598,0.0011719,0.0011719,0.0011719
32,253.379,0.67372,0.48305,1.00968,0.96584,0.99485,0.9824,0.78725,0.75266,0.40923,1.11546,0.0011554,0.0011554,0.0011554
33,259.884,0.68631,0.4853,1.01543,0.95326,0.92431,0.98743,0.78915,0.74086,0.48801,1.07388,0.00113889,0.00113889,0.00113889
34,266.422,0.68751,0.49649,1.0154,0.97649,0.9882,0.98783,0.8215,0.70909,0.40186,1.03111,0.00112239,0.00112239,0.00112239
35,273.168,0.67265,0.47373,1.00291,0.98603,0.99907,0.98992,0.81794,0.7119,0.37577,1.03472,0.00110589,0.00110589,0.00110589
36,279.697,0.68938,0.4873,1.01756,0.97531,0.97304,0.98781,0.81195,0.69082,0.42179,1.0388,0.00108938,0.00108938,0.00108938
